full_name,default_branch,forks,watchers,topics,created_at
HyperGAN__HyperGAN,master,171,1188,"['artificial-intelligence', 'computer-vision', 'gan', 'generative-adversarial-network', 'hypergan', 'machine-learning', 'machine-learning-api', 'online-learning', 'python', 'pytorch', 'sponsors', 'unsupervised-learning']",2016-06-24T22:49:56Z
wiseodd__generative-models,master,2026,7204,"['gan', 'generative-model', 'machine-learning', 'pytorch', 'rbm', 'restricted-boltzmann-machine', 'tensorflow', 'vae']",2016-12-07T11:28:16Z
yeyun111__dlcv_for_beginners,master,639,1418,"['adversarial', 'beginners', 'book', 'caffe', 'classification', 'computer-vision', 'deep-learning', 'detection', 'example', 'gan', 'generative', 'model-fusion', 'mxnet', 'pytorch', 'regression', 'segmentation', 'siamese', 'u-net', 'unet']",2016-12-22T01:54:49Z
drckf__paysage,master,27,120,"['boltzmann-machines', 'generative-model', 'machine-learning', 'rbm', 'unsupervised-learning']",2017-01-22T15:56:10Z
jhave__pytorch-poetry-generation,master,15,87,[],2017-02-06T22:46:03Z
devnag__pytorch-generative-adversarial-networks,master,461,1509,"['deep-learning', 'gan', 'gans', 'machine-learning', 'pytorch']",2017-02-11T01:15:16Z
mailmahee__pytorch-generative-adversarial-networks,master,7,33,[],2017-02-19T02:10:42Z
zhenxuan00__triple-gan,master,63,224,"['gan', 'generative-adversarial-network', 'generative-model', 'semi-supervised-learning']",2017-03-30T04:12:18Z
edgarriba__ali-pytorch,master,2,30,"['deep-learning', 'generative-model']",2017-03-24T07:51:00Z
leVirve__pixel-styler,master,2,13,"['cyclegan', 'deep-learning', 'gan', 'generative-adversarial-network', 'image-translation', 'pix2pix', 'pytorch', 'refactoring']",2017-03-30T16:38:00Z
staturecrane__python-generation,master,0,1,[],2017-03-15T15:43:22Z 
taey16__DomainTransferNetwork.pytorch,master,10,38,"['deep-learning', 'domain-transfer-network', 'gan', 'generative-adversarial-network', 'pytorch']",2017-04-05T03:52:22Z
taey16__pix2pix.pytorch,master,8,36,"['gan', 'generative-adversarial-network', 'pix2pix', 'pytorch']",2017-04-06T03:37:23Z
junyanz__pytorch-CycleGAN-and-pix2pix,master,6077,21508,"['computer-graphics', 'computer-vision', 'cyclegan', 'deep-learning', 'gan', 'gans', 'generative-adversarial-network', 'image-generation', 'image-manipulation', 'pix2pix', 'pytorch']",2017-04-18T10:33:05Z
AllenCellModeling__pytorch_integrated_cell,master,10,42,"['autoencoder', 'cell-analysis', 'cell-biology', 'generative-adversarial-network', 'machine-learning', 'neural-networks', 'python', 'pytorch', 'science-research']",2017-04-20T16:33:57Z
kefirski__RGAN,master,3,7,"['adversarial-networks', 'gan', 'generative-adversarial-network', 'nlp', 'python', 'pytorch', 'rnn']",2017-04-18T13:46:02Z
lizadaly__napogenmo2017,master,0,2,"['computer-generated-art', 'generative-art', 'nlp', 'poem', 'pytorch']",2017-04-22T22:43:36Z
kimhc6028__acgan-pytorch,master,10,71,"['deep-learning', 'gan', 'generative-adversarial-network', 'semi-supervised-learning']",2017-05-05T08:54:28Z
GBLin5566__An-Automated-Traditional-Chinese-Dialogue-Generating-System,master,9,4,"['dialogue-generation', 'dialogue-systems', 'nlp', 'python', 'pytorch', 'recurrent-neural-networks', 'recursive-neural-networks', 'traditional-chinese']",2017-05-04T03:05:10Z
kefirski__ContRVAE,master,0,3,"['generative-model', 'nlp', 'pytorch', 'recurrent-neural-networks', 'variational-autoencoder']",2017-05-06T09:08:43Z
pjavia__GAN,master,0,0,"['gan', 'generative-adversarial-network', 'pytorch', 'pytorch-gan', 'tensorflow', 'tensorflow-gan']",2017-05-12T15:46:46Z
