full_name,default_branch,forks,watchers,topics,created_at
kaanaksit__odak,master,43,144,"['cluster-computing', 'color', 'computational-display', 'computational-imaging', 'computational-optics', 'computer-generated-holography', 'computer-graphics', 'deep-learning', 'holography', 'jones-calculus', 'lensless', 'machine-learning', 'numpy', 'odak', 'optics', 'perception', 'python', 'pytorch', 'raytracing', 'wave-optics']",2012-04-10T21:14:40Z
jmschrei__pomegranate,master,581,3221,"['machine-learning', 'probabilistic-graphical-models', 'python', 'pytorch']",2014-11-24T18:36:58Z
imatge-upc__retrieval-2017-cam,master,60,223,"['cam', 'class-activation-maps', 'convolutional-neural-networks', 'deep-learning', 'image-retrieval', 'keras', 'pytorch', 'transfer-learning', 'vgg16', 'visual-instance-search']",2016-03-21T11:35:27Z
jaanli__variational-autoencoder,master,255,1106,"['autoregressive-neural-networks', 'deep', 'deep-learning', 'deep-neural-networks', 'learning', 'machine-learning', 'probabilistic-graphical-models', 'pytorch', 'tensorflow', 'unsupervised-learning', 'vae', 'variational-autoencoder', 'variational-inference']",2016-08-15T15:48:05Z
ryfeus__lambda-packs,master,241,1104,"['aws', 'aws-lambda', 'hdf', 'keras', 'lightgbm', 'numpy', 'opencv', 'pandas', 'phantomjs', 'pillow', 'python', 'pytorch', 'selenium', 'serverless', 'skimage', 'sklearn', 'spacy', 'tensorflow', 'tesseract', 'wrk']",2016-10-19T18:22:39Z
weiaicunzai__Bag_of_Tricks_for_Image_Classification_with_Convolutional_Neural_Networks,master,120,683,"['image-classification', 'pytorch']",2017-01-11T09:46:47Z
amdegroot__ssd.pytorch,master,1732,5014,"['computer-vision', 'deep-learning', 'image-recognition', 'machine-learning', 'object-detection', 'pytorch', 'ssd', 'webcam']",2017-02-08T01:50:36Z
lantiga__pytorch2c,master,8,87,"['compiled-graphs', 'deep-learning', 'graph', 'python', 'pytorch', 'tensor']",2017-02-15T20:54:44Z
mattmacy__torchbiomed,master,33,107,"['biomedical-image-processing', 'pytorch']",2017-03-08T20:31:13Z
Coderx7__SimpleNet,master,22,87,"['cnn-model', 'cnn-pytorch', 'convolutional-neural-networks', 'deep-learning', 'fast-net', 'image-classification', 'imagenet', 'pytorch', 'simplenet']",2017-03-18T09:31:08Z
leVirve__pixel-styler,master,2,13,"['cyclegan', 'deep-learning', 'gan', 'generative-adversarial-network', 'image-translation', 'pix2pix', 'pytorch', 'refactoring']",2017-03-30T16:38:00Z
Cadene__pretrained-models.pytorch,master,1839,8908,"['imagenet', 'inception', 'pretrained', 'pytorch', 'resnet', 'resnext']",2017-04-09T15:54:23Z
junyanz__pytorch-CycleGAN-and-pix2pix,master,6077,21508,"['computer-graphics', 'computer-vision', 'cyclegan', 'deep-learning', 'gan', 'gans', 'generative-adversarial-network', 'image-generation', 'image-manipulation', 'pix2pix', 'pytorch']",2017-04-18T10:33:05Z
weiaicunzai__pytorch-cifar100,master,1132,3853,"['cifar100', 'deep-learning', 'densenet', 'googlenet', 'image-classification', 'inception-resnet-v2', 'inceptionv3', 'inceptionv4', 'mobilenet', 'nasnet', 'pytorch', 'resnet', 'resnext', 'shufflenet', 'squeezenet', 'wideresnet', 'xception']",2017-04-22T14:11:57Z
KupynOrest__DeblurGAN,master,509,2419,"['blurry-images', 'computer-vision', 'convolutional-networks', 'convolutional-neural-networks', 'deblurring', 'deep-learning', 'gan', 'image-manipulation', 'image-processing', 'image-to-image-translation', 'neural-network', 'paper', 'pix2pix', 'pytorch']",2017-04-26T14:08:11Z
EliasVansteenkiste__plnt,master,1,2,"['classification', 'deep-neural-networks', 'kaggle', 'lasagne', 'python', 'pytorch', 'satellite-imagery']",2017-04-23T15:50:33Z
IEavan__Fish_CNN,master,0,0,"['image-classification', 'kaggle-competition', 'pytorch', 'tensorflow']",2017-04-16T12:56:50Z
bearpaw__pytorch-classification,master,565,1635,"['cifar10', 'cifar100', 'classification', 'densenet', 'imagenet', 'preresnet', 'pytorch', 'resnet', 'resnext', 'wide-residual-networks', 'wrn']",2017-05-10T05:33:36Z
ruotianluo__self-critical.pytorch,master,286,979,['image-captioning'],2017-05-05T05:15:04Z
lucasjinreal__pytorch_image_classifier,master,47,111,[],2017-05-10T03:48:14Z
melissa135__deep_typhoon,master,13,27,"['cnn', 'deep-learning', 'hurricane', 'pytorch', 'satellite-imagery', 'typhoon']",2017-05-11T13:42:29Z
jacobgil__pytorch-grad-cam,master,1432,9002,"['class-activation-maps', 'computer-vision', 'deep-learning', 'explainable-ai', 'explainable-ml', 'grad-cam', 'image-classification', 'interpretability', 'interpretable-ai', 'interpretable-deep-learning', 'machine-learning', 'object-detection', 'pytorch', 'score-cam', 'vision-transformers', 'visualizations', 'xai']",2017-05-31T19:55:15Z
DagnyT__hardnet,master,101,504,"['computer-vision', 'convolutional-neural-networks', 'deep-learning', 'image-matching', 'image-retrieval', 'metric-learning', 'nips-2017', 'pytorch']",2017-05-29T19:29:35Z
sagiebenaim__DistanceGAN,master,42,194,"['computer-vision', 'computer-vision-ai', 'deep-learning', 'gan', 'image-generation', 'image-manipulation', 'pytorch', 'unsupervised-learning']",2017-06-02T07:34:51Z
lucasjinreal__pytorch_image_caption,master,5,21,[],2017-05-25T08:57:25Z
bb-in-hoodie__MNIST-invert-color,master,0,16,"['cnn', 'convolutional-neural-networks', 'cyclegan', 'gan', 'image-generation', 'mnist', 'python', 'pytorch']",2017-05-30T03:56:58Z
Eiji-Kb__simple-pix2pix-pytorch,master,6,11,"['computer-graphics', 'computer-vision', 'deep-learning', 'pix2pix', 'pytorch']",2017-05-30T14:52:40Z
nmhkahn__text-to-image.pytorch,master,2,8,[],2017-05-30T04:45:13Z
sanghoon__pytorch_imagenet,master,14,37,[],2017-06-09T04:31:25Z
taey16__CBEGAN,master,1,10,"['boundary-equlibrium-gan', 'celeba', 'conditional-gan', 'image-manipulation', 'pytorch']",2017-06-13T02:28:53Z
frendyxzc__StyleTransfer,master,0,4,"['image', 'pytorch', 'style-transfer', 'vgg19']",2017-06-18T02:38:04Z
saintograph__herbie,master,0,0,[],2017-06-03T15:56:48Z
gitabcworld__MatchingNetworks,master,82,319,"['matching', 'meta-learning', 'miniimagenet', 'networks', 'omniglot', 'one-shot', 'pytorch']",2017-06-29T07:43:16Z
dros1986__filter_removal,master,0,14,"['cnn', 'convolutional-neural-networks', 'filter-removal', 'image-enhancement', 'image-processing', 'machine-learning', 'photo-filter', 'photo-repair', 'photography', 'pytorch', 'unfilering']",2017-06-21T10:03:21Z
L1aoXingyu__AI-Challenger-image-caption,master,5,6,[],2017-06-19T13:06:55Z
frendyxzc__ImageClassifier,master,1,0,"['cifar10', 'image-classifier', 'pytorch', 'resnet34', 'vgg16']",2017-06-23T08:32:31Z
OpenMined__PySyft,dev,1963,9140,"['cryptography', 'deep-learning', 'federated-learning', 'hacktoberfest', 'privacy', 'python', 'pytorch', 'secure-computation', 'syft']",2017-07-18T20:41:16Z
durandtibo__wildcat.pytorch,master,62,263,"['convnet', 'cvpr-2017', 'cvpr17', 'cvpr2017', 'deep-learning', 'image-classification', 'pytorch', 'weakly-supervised-learning']",2017-07-07T13:05:46Z
Oulu-IMEDS__DeepKnee,pypackage,34,61,"['attention-maps', 'biomedical-engineering', 'deep-learning', 'knee', 'medical', 'osteoarthritis', 'pytorch', 'radiographs', 'radiology']",2017-07-27T08:00:36Z
Po-Hsun-Su__pytorch-ssim,master,360,1782,"['image-analysis', 'image-processing', 'pytorch']",2017-08-09T20:04:28Z
Jarvis73__Moving-Least-Squares,master,107,322,"['algorithm', 'image-deformation']",2017-08-18T10:16:49Z
