full_name,default_branch,forks,watchers,topics,created_at
rohitgajawada__multimodal-ocr,master,0,1,[],2017-05-15T18:33:21Z
SahilC__Cross-Modal-Style,master,0,1,"['cross-modal-retrieval', 'deep-learning', 'pytorch', 'style-transfer']",2017-09-21T05:48:33Z
jrzaurin__pytorch-widedeep,master,182,1211,"['deep-learning', 'images', 'model-hub', 'multimodal-deep-learning', 'python', 'pytorch', 'pytorch-cv', 'pytorch-nlp', 'pytorch-tabular-data', 'pytorch-transformers', 'tabular-data', 'text']",2017-10-21T08:11:44Z
Shivanshu-Gupta__Visual-Question-Answering,master,17,69,"['attention', 'cnn', 'deep-learning', 'lstm', 'multimodal-tucker-fusion', 'nlp', 'pytorch', 'stacked-attention-networks', 'visual-question-answering']",2017-10-24T06:43:18Z
dnguyen1196__multi-modal-word-embeddings-pytorch,master,0,1,[],2017-12-04T17:19:46Z
multimodallearning__pytorch-mask-rcnn,master,550,1960,[],2018-02-02T17:47:18Z
mhw32__multimodal-vae-public,master,37,141,"['generative-models', 'machine-learning', 'multimodal-learning', 'variational-autoencoder']",2018-03-05T17:33:06Z
kuanghuei__SCAN,master,106,505,"['computer-vision', 'cross-modal', 'deep-learning', 'image-captioning', 'neural-network', 'pytorch', 'visual-semantic']",2018-05-11T18:37:52Z
facebookresearch__mmf,main,929,5381,"['captioning', 'deep-learning', 'dialog', 'hateful-memes', 'multi-tasking', 'multimodal', 'pretrained-models', 'pytorch', 'textvqa', 'vqa']",2018-06-27T04:52:40Z
AnnikaLindh__Diverse_and_Specific_Image_Captioning,master,8,13,"['computer-vision', 'deep-learning', 'image-captioning', 'machine-learning', 'multimodal-learning', 'natural-language-generation', 'paper-implementations', 'pytorch', 'research']",2018-07-20T11:55:37Z
zjunlp__DeepKE,main,611,2721,"['attribute-extraction', 'chinese', 'deep-learning', 'deepke', 'document-level', 'few-shot', 'information-extraction', 'instructie', 'kg', 'knowledge-graph', 'knowprompt', 'lightner', 'low-resource', 'multi-modal', 'named-entity-recognition', 'ner', 'nlp', 'prompt', 'pytorch', 'relation-extraction']",2018-08-01T01:54:52Z
shubhamagarwal92__mmd,master,5,29,"['mmd', 'multimodal-deep-learning', 'pytorch', 'visual-dialog']",2018-08-30T13:22:17Z
maharshi95__GANTree,master,6,13,"['gan-tree', 'gans', 'iccv2019', 'incremental-learning', 'multimodal', 'paper', 'pytorch']",2018-09-06T11:23:43Z
jina-ai__clip-as-service,main,2039,12101,"['bert', 'bert-as-service', 'clip-as-service', 'clip-model', 'cross-modal-retrieval', 'cross-modality', 'deep-learning', 'image2vec', 'multi-modality', 'neural-search', 'onnx', 'openai', 'pytorch', 'sentence-encoding', 'sentence2vec']",2018-11-12T10:48:50Z
ChangdeDu__multimodal-vae-public,master,0,0,[],2018-11-09T06:34:21Z
georgepar__slp,master,7,21,"['multimodal', 'multimodal-deep-learning', 'multimodal-learning', 'natural-language-processing', 'pytorch', 'pytorch-lightning', 'wandb']",2018-11-21T21:46:19Z
josedolz__IVD-Net,master,14,51,"['deep-learning', 'densenet', 'fcn', 'hyperdensenet', 'image-segmentation', 'intervertebral-disc-localization', 'ivd-net', 'medical-image-processing', 'medical-imaging', 'miccai', 'multi-modal-imaging', 'multi-modal-unet', 'pytorch', 'pytorch-cnn', 'segmentation', 'unet', 'unet-image-segmentation', 'unet-pytorch']",2018-12-14T01:58:47Z
ztangent__multimodal-dmm,master,8,22,[],2019-02-15T08:40:56Z
AnjanDutta__sem-pcyc,master,23,110,"['cross-modality', 'cycle-gan', 'generative-model', 'sketch-based-image-retrieval', 'zero-shot-learning']",2019-02-27T09:09:15Z
ldeecke__mn-torch,master,1,17,"['deep-learning', 'multimodality', 'normalization', 'pytorch']",2019-02-24T10:48:10Z
Demfier__pmup,master,0,3,"['capsnet', 'emotion-recognition', 'flask', 'multimodal-deep-learning', 'node-js', 'pytorch', 'sentiment-analysis', 'tensorflow']",2019-02-23T22:48:02Z
penghu-cs__MAN,master,6,30,"['adversarial-learning', 'cross-modal-retrieval', 'deep-multimodal-learning']",2019-04-01T12:33:26Z
idearibosome__embracenet,master,25,79,"['deep-learning', 'multimodal', 'multimodal-deep-learning', 'pytorch', 'tensorflow']",2019-04-18T01:55:20Z
