full_name,default_branch,forks,watchers,topics,created_at
LK__Plato,master,1,5,"['dqn', 'pytorch', 'reinforcement-learning', 'robocode']",2016-02-16T13:30:44Z
ray-project__ray,master,5076,30025,"['automl', 'data-science', 'deep-learning', 'deployment', 'distributed', 'hyperparameter-optimization', 'hyperparameter-search', 'java', 'llm-serving', 'machine-learning', 'model-selection', 'optimization', 'parallel', 'python', 'pytorch', 'ray', 'reinforcement-learning', 'rllib', 'serving', 'tensorflow']",2016-10-25T19:38:30Z
pytorch__tnt,master,247,1601,"['deep-learning', 'machine-learning', 'neural-network', 'python', 'pytorch', 'reinforcement-learning']",2016-12-10T11:49:58Z
gwthomas__force,master,8,49,"['deep-reinforcement-learning', 'machine-learning', 'openai-gym', 'pytorch', 'reinforcement-learning', 'research']",2017-01-14T05:14:38Z
ikostrikov__pytorch-ddpg-naf,master,71,304,"['ddpg', 'deep-deterministic-policy-gradient', 'deep-learning', 'pytorch', 'reinforcement-learning']",2017-01-28T21:45:50Z
akolishchak__doom-net-pytorch,master,20,128,"['agent', 'behavior-tree', 'doom', 'doomnet-track1', 'learning', 'mcts', 'ppo', 'pytorch', 'reinforcement', 'reinforcement-learning', 'vizdoom']",2017-01-30T00:24:10Z
ikostrikov__pytorch-a3c,master,281,1170,"['a3c', 'actor-critic', 'asynch', 'asynchronous-advantage-actor-critic', 'asynchronous-methods', 'deep-learning', 'deep-reinforcement-learning', 'python', 'pytorch', 'pytorch-a3c', 'reinforcement-learning']",2017-02-13T03:57:55Z
MushroomRL__mushroom-rl,dev,140,753,"['atari', 'ddpg', 'deep-learning', 'deep-reinforcement-learning', 'dqn', 'mujoco', 'openai-gym', 'pybullet', 'pytorch', 'qlearning', 'reinforcement-learning', 'rl', 'sac', 'trpo']",2017-02-25T19:59:57Z
fizz-ml__pytorch-aux-reward-rl,develop,0,1,"['actor-critic', 'aux-reward', 'ddpg', 'pytorch', 'reinforcement-learning']",2017-02-19T18:21:20Z
hungtuchen__pytorch-dqn,master,109,376,"['deep-q-network', 'deep-reinforcement-learning', 'pytorch']",2017-03-04T05:24:15Z
MrGemy95__DL-Playground,master,2,5,"['computer-vision', 'deep-learning', 'gan', 'machine-learning', 'pytorch', 'reinforcement-learning', 'tensorflow']",2017-03-03T21:51:15Z
sunil3590__neural-nuts,master,0,0,"['deep-learning', 'nlp', 'pytorch', 'reinforcement-learning', 'tensorflow']",2017-03-01T22:41:37Z
wandb__wandb,main,585,7883,"['collaboration', 'data-science', 'data-versioning', 'deep-learning', 'experiment-track', 'hyperparameter-optimization', 'hyperparameter-search', 'hyperparameter-tuning', 'jax', 'keras', 'machine-learning', 'ml-platform', 'mlops', 'model-versioning', 'pytorch', 'reinforcement-learning', 'reproducibility', 'tensorflow']",2017-03-24T05:46:23Z
onlytailei__A3C-PyTorch,master,22,113,"['a3c', 'deep-reinforcement-learning']",2017-03-15T16:46:23Z
ramakumar1729__Q-Learning-pytorch,master,3,3,"['machine-learning', 'pytorch-rl', 'reinforcement-learning']",2017-03-25T22:17:27Z
SahilC__deep-q-network,master,1,0,"['pytorch', 'reinforcement-learning']",2017-03-23T13:20:40Z
jingweiz__pytorch-rl,master,144,791,"['a3c', 'acer', 'actor-critic', 'deep-learning', 'deep-reinforcement-learning', 'dqn', 'pytorch', 'pytorch-a3c', 'reinforcement-learning', 'trpo', 'visdom']",2017-04-10T11:05:53Z
ghliu__pytorch-ddpg,master,154,521,"['ddpg', 'deep-reinforcement-learning', 'openai-gym', 'pytorch']",2017-04-04T15:20:23Z
andrewliao11__pytorch-a3c-mujoco,master,20,73,"['a3c', 'actor-critic', 'continuous-control', 'mujoco', 'pytorch', 'reinforcement-learning']",2017-04-14T03:38:52Z
scientist1642__bombora,master,2,19,"['a3c', 'pytorch', 'reinforcement-learning', 'visdom']",2017-04-03T16:30:29Z
ShangtongZhang__DeepRL,master,664,3067,"['a2c', 'categorical-dqn', 'ddpg', 'deep-reinforcement-learning', 'deeprl', 'double-dqn', 'dqn', 'dueling-network-architecture', 'option-critic', 'option-critic-architecture', 'ppo', 'prioritized-experience-replay', 'pytorch', 'quantile-regression', 'rainbow', 'td3']",2017-04-20T19:59:53Z
chingyaoc__pytorch-REINFORCE,master,51,258,"['continuous-control', 'gym', 'mujoco', 'pytorch', 'reinforce', 'reinforcement-learning']",2017-04-16T04:13:08Z
pianomania__DQN-pytorch,master,10,23,"['atari', 'dqn', 'ping-pong', 'reinforcement-learning']",2017-04-22T08:21:16Z
jcwleo__Reinforcement_Learning,master,32,116,"['breakout', 'cartpole', 'deep-learning', 'dqn', 'policy-gradient', 'pong', 'pytorch', 'reinforcement-learning', 'reinforcement-learning-algorithms', 'tensorflow']",2017-05-07T17:44:45Z
dgriff777__rl_a3c_pytorch,master,119,553,"['a3c', 'a3c-gpu', 'a3g', 'actor-critic', 'asynchronous-advantage-actor-critic', 'atari', 'deep-reinforcement-learning', 'openai-gym', 'python', 'pytorch', 'pytorch-a3c', 'reinforcement-learning']",2017-05-25T09:56:30Z
ikostrikov__pytorch-trpo,master,90,402,"['continuous-control', 'deep-learning', 'deep-reinforcement-learning', 'mujoco', 'pytorch', 'reinforcement-learning', 'trpo', 'trust-region-policy-optimization']",2017-05-26T12:33:18Z
aleju__self-driving-truck,master,97,382,"['autonomous', 'deep-learning', 'pytorch', 'reinforcement-learning', 'self-driving-car']",2017-06-02T13:58:05Z
kimhc6028__pytorch-noreward-rl,master,20,78,"['a3c', 'deep-reinforcement-learning', 'pytorch']",2017-05-22T16:21:11Z
ne7ermore__torch-light,master,202,529,"['deep-learning', 'pytorch', 'reinforcement-learning']",2017-06-12T07:50:50Z
pranz24__A3C-GRU,master,1,15,"['a3c', 'actor-critic', 'atari', 'deep-reinforcement-learning', 'gru', 'gym', 'openai-gym', 'pong', 'python', 'pytorch', 'reinforcement-learning-algorithms']",2017-06-17T20:37:12Z
pianomania__paac-pytorch,master,2,5,"['a2c', 'a3c', 'deep-reinforcement-learning', 'efficient-parallel-methods', 'paac', 'paac-pytorch', 'pytorch', 'reinforcement-learning']",2017-06-05T12:41:31Z
stegben__play-reinforcement-learning,master,0,0,[],2017-06-16T11:24:33Z
pemami4911__neural-combinatorial-rl-pytorch,master,138,515,"['neural-combinatorial-optimization', 'pytorch', 'reinforcement-learning', 'seq2seq']",2017-06-20T14:10:01Z
bornabesic__belot,master,14,21,"['artificial-intelligence', 'belote', 'card-game', 'deep-reinforcement-learning', 'policy', 'policy-gradient', 'python3', 'pytorch', 'reinforcement-learning']",2017-07-04T21:17:48Z
shinshiner__Reinforcement-Learning-RL-,master,0,0,"['pytorch', 'reinforcement-learning']",2017-06-27T02:59:18Z
floodsung__a2c_cartpole_pytorch,master,13,63,"['pytorch', 'reinforcement-learning']",2017-07-13T04:49:23Z
qbx2__PAAC.pytorch,master,0,20,"['atari', 'deep-reinforcement-learning', 'gym', 'paac', 'pytorch', 'reinforcement-learning']",2017-07-09T15:39:07Z
ethancaballero__multi-agent-reinforcement-learning-for-emergent-communication,master,1,2,"['grounded-language-learning', 'multiagent-reinforcement-learning', 'neuralese', 'pytorch', 'virtual-embodiment']",2017-07-18T09:18:18Z
xuehy__pytorch-maddpg,master,115,547,"['multiagent-reinforcement-learning', 'pytorch-rl']",2017-07-25T01:21:09Z
floringogianu__categorical-dqn,master,9,96,"['atari', 'dqn', 'pytorch', 'reinforcement-learning']",2017-07-27T13:11:06Z
sintefneodroid__agent,master,6,8,"['agent', 'deep-learning', 'dqn', 'droid', 'estimate', 'game-development', 'hacktoberfest', 'imitation-learning', 'machine-learning', 'ml', 'neo', 'neodroid', 'obstructions', 'ppo', 'python', 'pytorch', 'reinforcement-learning', 'rl', 'unity', 'unity3d']",2017-07-25T07:39:43Z
moskomule__pytorch.rl.learning,master,10,65,"['pytorch', 'reinforcement-learning']",2017-08-10T10:10:54Z
xuehy__pytorch-mace,master,5,8,"['multiagent-reinforcement-learning', 'pytorch-rl', 'reinforcement-learning']",2017-08-18T02:17:52Z
realaeon__pytorch-reinforcement-learning,master,0,1,[],2017-08-16T02:02:53Z
ikostrikov__pytorch-a2c-ppo-acktr-gail,master,822,3418,"['a2c', 'acktr', 'actor-critic', 'advantage-actor-critic', 'ale', 'atari', 'continuous-control', 'deep-learning', 'deep-reinforcement-learning', 'hessian', 'kfac', 'kronecker-factored-approximation', 'mujoco', 'natural-gradients', 'ppo', 'proximal-policy-optimization', 'pytorch', 'reinforcement-learning', 'roboschool', 'second-order']",2017-08-22T15:57:25Z
mabirck__CatastrophicForgetting-EWC,master,4,24,"['continual-learning', 'deep-learning', 'deep-neural-networks', 'dqn', 'dqn-ewc', 'elastic-weight-consolidation', 'mnist', 'neural-network', 'overcoming-catastrophic-forgetting', 'pytorch', 'pytorch-tutorial', 'reinforcement-learning']",2017-09-01T20:57:48Z
8Gitbrix__DQN,master,0,1,"['deep-qlearning-algorithm', 'deep-reinforcement-learning', 'dqn', 'openai-gym-agents', 'pytorch-rl']",2017-09-04T19:47:49Z
nosyndicate__pytorchrl,master,6,48,"['deep-reinforcement-learning', 'imitation-learning', 'inverse-reinforcement-learning', 'pytorch', 'reinforcement-learning']",2017-09-08T05:46:39Z
kengz__SLM-Lab,master,257,1200,"['a2c', 'a3c', 'benchmark', 'deep-reinforcement-learning', 'dqn', 'policy-gradient', 'ppo', 'pytorch', 'reinforcement-learning', 'sac']",2017-10-02T22:20:22Z
greydanus__baby-a3c,master,43,168,"['a3c', 'actor-critic', 'atari', 'deep-reinforcement-learning', 'pytorch', 'pytorch-a3c', 'pytorch-rl']",2017-10-03T21:55:01Z
