full_name,default_branch,forks,watchers,topics,created_at
mead-ml__mead-baseline,master,73,244,"['baseline', 'bert', 'classification', 'convolutional-neural-networks', 'deep-learning', 'deep-learning-architectures', 'experimentation', 'hacktoberfest', 'keras', 'language-model', 'machine-learning', 'nlp', 'nlp-tasks', 'pytorch', 'recurrent-neural-networks', 'seq2seq', 'tensorflow', 'transformers', 'visdom']",2016-04-24T14:23:02Z
jacobgil__pytorch-grad-cam,master,1432,9002,"['class-activation-maps', 'computer-vision', 'deep-learning', 'explainable-ai', 'explainable-ml', 'grad-cam', 'image-classification', 'interpretability', 'interpretable-ai', 'interpretable-deep-learning', 'machine-learning', 'object-detection', 'pytorch', 'score-cam', 'vision-transformers', 'visualizations', 'xai']",2017-05-31T19:55:15Z
awslabs__sockeye,main,335,1197,"['attention-is-all-you-need', 'attention-mechanism', 'attention-model', 'deep-learning', 'deep-neural-networks', 'encoder-decoder', 'machine-learning', 'machine-translation', 'neural-machine-translation', 'pytorch', 'seq2seq', 'sequence-to-sequence', 'sequence-to-sequence-models', 'sockeye', 'transformer', 'transformer-architecture', 'transformer-network', 'translation']",2017-06-08T07:44:30Z
hirofumi0810__neural_sp,master,137,582,"['asr', 'attention', 'attention-mechanism', 'automatic-speech-recognition', 'ctc', 'language-model', 'language-modeling', 'pytorch', 'rnn-transducer', 'seq2seq', 'sequence-to-sequence', 'speech', 'speech-recognition', 'streaming', 'transformer', 'transformer-xl']",2017-09-10T06:33:28Z
WarBean__tps_stn_pytorch,master,154,899,"['pytorch', 'spatial-transformer-network', 'thin-plate-splines']",2017-09-25T02:20:06Z
laulysta__nmt_transformer,master,3,4,[],2017-10-05T17:11:43Z
jrzaurin__pytorch-widedeep,master,182,1211,"['deep-learning', 'images', 'model-hub', 'multimodal-deep-learning', 'python', 'pytorch', 'pytorch-cv', 'pytorch-nlp', 'pytorch-tabular-data', 'pytorch-transformers', 'tabular-data', 'text']",2017-10-21T08:11:44Z
gram-ai__radio-transformer-networks,master,24,123,"['machine-learning', 'pytorch', 'radio-transformer-networks', 'signal-processing']",2017-11-05T10:19:28Z
AlexHex7__Spatial-Transformer-Networks_pytorch,master,21,88,"['pytorch', 'spatial-transformer-network', 'stn']",2017-11-24T14:12:54Z
akurniawan__pytorch-transformer,master,12,32,"['attention', 'attention-is-all-you-need', 'multihead-attention', 'pytorch']",2017-11-22T23:18:38Z
kefirski__attentive-translation,master,1,11,"['machine-translation', 'python', 'pytorch', 'transformer']",2017-12-08T13:15:04Z
jayparks__transformer,master,121,521,"['attention-is-all-you-need', 'attention-mechanism', 'machine-translation', 'self-attention']",2018-01-04T04:19:25Z
leviswind__pytorch-transformer,master,56,237,"['attention-is-all-you-need', 'pytorch', 'transformer', 'translation']",2018-01-05T08:00:01Z
DevSinghSachan__Attention_is_All_You_Need,master,5,43,"['attention-is-all-you-need', 'attention-mechanism', 'deep-learning', 'machine-translation', 'natural-language-processing', 'neural-machine-translation', 'neural-networks', 'nlp', 'pytorch', 'transformer']",2018-01-07T23:16:55Z
kefirski__amt,master,2,24,"['adversarial-machine-learning', 'adversarial-networks', 'attention', 'gan', 'machine-translation', 'pytorch', 'transformer']",2018-01-11T11:46:21Z
vshmyhlo__transformer-pytorch,master,0,5,"['deep-learning', 'machine-learning', 'nlp', 'pytorch', 'seq2seq']",2018-01-02T09:43:06Z
threelittlemonkeys__seq2seq-pytorch,master,10,43,"['attention', 'pointer-networks', 'pytorch', 'rnn-encoder-decoder', 'self-attention', 'sequence-to-sequence', 'transformer']",2018-01-25T06:41:17Z
ivan-bilan__Relation-Extraction-Transformer,stable,14,64,"['attention', 'attention-encoder-model', 'natural-language-processing', 'nlp', 'pytorch', 'relation-extraction', 'transformer']",2018-02-12T09:31:00Z
kolloldas__torchnlp,master,45,252,"['crf', 'machine-learning', 'nlp', 'pytorch', 'torchtext', 'transformer']",2018-02-18T15:48:28Z
DevSinghSachan__multilingual_nmt,master,8,45,"['attention-is-all-you-need', 'attention-mechanism', 'deep-learning', 'natural-language-processing', 'neural-machine-translation', 'nlp', 'pytorch', 'pytorch-implementation', 'transformer']",2018-03-20T01:36:02Z
navneet-nmk__pytorch-transformer,master,1,2,"['deep-learning', 'deep-neural-networks', 'neural-machine-translation', 'neural-network', 'pytorch', 'sentiment-analysis', 'transformer']",2018-04-06T14:45:05Z
IntelLabs__nlp-architect,master,446,2927,"['bert', 'deep-learning', 'deeplearning', 'dynet', 'nlp', 'nlu', 'pytorch', 'quantization', 'tensorflow', 'transformers']",2018-05-17T21:00:13Z
spallas__wsd,master,1,6,"['languagemodel', 'nlp', 'nlp-machine-learning', 'transformer', 'word-sense-disambiguation']",2018-05-05T17:49:38Z
wang-h__pynmt,master,0,13,"['attention-mechanism', 'nmt', 'pytorch', 'transformer', 'translation']",2018-05-31T13:28:37Z
huggingface__pytorch-openai-transformer-lm,master,281,1478,"['language-model', 'neural-networks', 'openai', 'pytorch', 'transformer']",2018-06-13T14:02:41Z
shiningliang__Multi-level-Causality-Detection-Network,master,0,4,"['causal-inference', 'relation-networks', 'transformer']",2018-06-09T14:18:26Z
ZmeiGorynych__transformer_pytorch,master,2,1,[],2018-06-13T10:01:49Z
sobamchan__transformer_pytorch,master,0,0,[],2018-06-23T13:53:49Z
bosung__transformer,master,0,0,[],2018-07-05T13:47:49Z
