full_name,default_branch,forks,watchers,topics,created_at
HyperGAN__HyperGAN,master,171,1188,"['artificial-intelligence', 'computer-vision', 'gan', 'generative-adversarial-network', 'hypergan', 'machine-learning', 'machine-learning-api', 'online-learning', 'python', 'pytorch', 'sponsors', 'unsupervised-learning']",2016-06-24T22:49:56Z
yeyun111__dlcv_for_beginners,master,639,1418,"['adversarial', 'beginners', 'book', 'caffe', 'classification', 'computer-vision', 'deep-learning', 'detection', 'example', 'gan', 'generative', 'model-fusion', 'mxnet', 'pytorch', 'regression', 'segmentation', 'siamese', 'u-net', 'unet']",2016-12-22T01:54:49Z
torrvision__crayon,master,59,778,"['crayon', 'data-visualization', 'deep-learning', 'docker', 'pytorch', 'tensorboard', 'tensorflow', 'torch7']",2016-12-10T22:47:02Z
amdegroot__ssd.pytorch,master,1732,5014,"['computer-vision', 'deep-learning', 'image-recognition', 'machine-learning', 'object-detection', 'pytorch', 'ssd', 'webcam']",2017-02-08T01:50:36Z
azavea__raster-vision,master,374,1966,"['classification', 'computer-vision', 'deep-learning', 'geospatial', 'machine-learning', 'object-detection', 'pytorch', 'remote-sensing', 'semantic-segmentation']",2017-02-02T14:31:54Z
longcw__faster_rcnn_pytorch,master,464,1685,"['computer-vision', 'detection', 'faster-rcnn', 'pytorch']",2017-01-30T16:06:12Z
khurramjaved96__Recursive-CNNs,Pytorch-RecursiveCNN,48,129,"['cnn', 'computer-vision', 'convolutional-neural-networks', 'dataset', 'documents', 'machine-learning', 'paper', 'pytorch', 'real-time', 'tensorflow']",2017-02-10T06:50:53Z
wkentaro__pytorch-fcn,main,482,1708,"['computer-vision', 'convolutional-networks', 'deep-learning', 'fcn', 'fcn8s', 'pytorch', 'semantic-segmentation']",2017-02-16T18:55:08Z
ucla-vision__entropy-sgd,master,21,76,"['deep-learning', 'entropy-sgd', 'iclr', 'pytorch', 'sgd']",2017-02-24T08:29:10Z
MrGemy95__DL-Playground,master,2,5,"['computer-vision', 'deep-learning', 'gan', 'machine-learning', 'pytorch', 'reinforcement-learning', 'tensorflow']",2017-03-03T21:51:15Z
jalabort__eurus,master,0,3,"['computer-vision', 'deep-learning', 'opencv', 'python', 'pytorch', 'single-object-tracking']",2017-02-28T11:12:05Z
bodokaiser__piwise,master,88,382,"['computer-vision', 'fcn', 'pytorch', 'segnet', 'semantic-segmentation']",2017-03-21T08:05:59Z
sunshineatnoon__Paper-Implementations,master,200,621,"['computer-vision', 'deep-learning', 'pytorch']",2017-04-01T14:02:32Z
isht7__pytorch-deeplab-resnet,master,123,600,"['computer-vision', 'deep-learning', 'deeplab', 'deeplab-resnet', 'pascal-voc', 'pytorch', 'semantic-segmentation']",2017-04-09T23:45:01Z
felixgwu__img_classification_pk_pytorch,master,78,360,"['cifar', 'computer-vision', 'deep-learning', 'pytorch']",2017-04-01T07:33:45Z
incredible-vision__show-and-tell,master,0,7,[],2017-04-11T12:00:22Z
junyanz__pytorch-CycleGAN-and-pix2pix,master,6077,21508,"['computer-graphics', 'computer-vision', 'cyclegan', 'deep-learning', 'gan', 'gans', 'generative-adversarial-network', 'image-generation', 'image-manipulation', 'pix2pix', 'pytorch']",2017-04-18T10:33:05Z
KupynOrest__DeblurGAN,master,509,2419,"['blurry-images', 'computer-vision', 'convolutional-networks', 'convolutional-neural-networks', 'deblurring', 'deep-learning', 'gan', 'image-manipulation', 'image-processing', 'image-to-image-translation', 'neural-network', 'paper', 'pix2pix', 'pytorch']",2017-04-26T14:08:11Z
jacobgil__pytorch-grad-cam,master,1432,9002,"['class-activation-maps', 'computer-vision', 'deep-learning', 'explainable-ai', 'explainable-ml', 'grad-cam', 'image-classification', 'interpretability', 'interpretable-ai', 'interpretable-deep-learning', 'machine-learning', 'object-detection', 'pytorch', 'score-cam', 'vision-transformers', 'visualizations', 'xai']",2017-05-31T19:55:15Z
DagnyT__hardnet,master,101,504,"['computer-vision', 'convolutional-neural-networks', 'deep-learning', 'image-matching', 'image-retrieval', 'metric-learning', 'nips-2017', 'pytorch']",2017-05-29T19:29:35Z
sagiebenaim__DistanceGAN,master,42,194,"['computer-vision', 'computer-vision-ai', 'deep-learning', 'gan', 'image-generation', 'image-manipulation', 'pytorch', 'unsupervised-learning']",2017-06-02T07:34:51Z
donlee90__icarl,master,34,96,"['computer-vision', 'deep-learning', 'machine-learning', 'pytorch']",2017-06-01T03:31:25Z
Eiji-Kb__simple-pix2pix-pytorch,master,6,11,"['computer-graphics', 'computer-vision', 'deep-learning', 'pix2pix', 'pytorch']",2017-05-30T14:52:40Z
iwasaki-kenta__keita,master,13,128,"['computer-vision', 'library', 'machine-learning', 'meta-learning', 'natural-language-processing', 'pytorch']",2017-07-13T05:31:42Z
aitorzip__PyTorch-SRGAN,master,93,354,"['cnn', 'computer-vision', 'convolutional-neural-networks', 'deep-learning', 'gan', 'generative-adversarial-network', 'pytorch', 'pytorch-gan', 'srgan', 'super-resolution']",2017-07-22T22:45:25Z
0lut__Deep-Learning-Examples,master,1,2,"['cifar10', 'computer-vision', 'deep-learning', 'gan', 'generative-adversarial-networks', 'mnist', 'pytorch']",2017-08-04T16:29:48Z
sanyam5__arc-pytorch,master,33,150,"['computer-vision', 'deep-learning', 'deep-neural-networks', 'machine-learning', 'pytorch', 'recurrent-neural-networks']",2017-08-18T10:53:26Z
wangqingbaidu__Dr.Sure,master,128,413,"['computer-vision', 'datasets', 'image-video-understanding', 'tensorflow', 'tensorflow-examples', 'tensorflow-tutorials']",2017-09-01T02:04:11Z
sshuair__torchsat,master,48,376,"['classification', 'data-augmentation', 'deep-learning', 'pytorch', 'remote-sensing', 'satellite', 'satellite-imagery', 'semantic-segmentation', 'torchvision']",2017-09-04T08:36:55Z
yifanjiang19__Pedestrian-Synthesis-GAN,master,27,85,"['computer-vision', 'data-augmentation', 'deep-learning', 'generative-adversarial-networks', 'pytorch']",2017-08-29T03:33:22Z
Hsuxu__carvana-pytorch-uNet,master,4,16,"['computer-vision', 'convolutional-neural-networks', 'deep-learning', 'image-segmentation', 'kaggle', 'python', 'pytorch']",2017-08-22T02:56:05Z
kenshohara__3D-ResNets-PyTorch,master,925,3780,"['action-recognition', 'computer-vision', 'deep-learning', 'python', 'pytorch', 'video-recognition']",2017-09-14T12:14:44Z
kenshohara__video-classification-3d-cnn-pytorch,master,261,1071,"['action-recognition', 'computer-vision', 'computer-vision-tools', 'deep-learning', 'python', 'pytorch', 'video-classification']",2017-09-21T04:48:33Z
erogol__Net2Net,master,10,37,"['computer-vision', 'deep-learning', 'net2net', 'pytorch']",2017-09-21T13:33:27Z
akuzeee__MoCoGAN,master,3,6,"['computer-vision', 'machine-learning', 'pytorch-implmention']",2017-09-08T09:43:18Z
MarxSoul55__cats_vs_dogs,master,2,5,"['artificial-intelligence', 'classification', 'classification-algorithm', 'computer-vision', 'convolutional-neural-networks', 'data', 'deep-learning', 'deep-learning-tutorial', 'deep-neural-networks', 'kaggle', 'machine-intelligence', 'machine-learning', 'machine-learning-algorithms', 'pytorch', 'robotics', 'skynet', 'tensorflow']",2017-09-20T02:32:26Z
ucla-vision__parle,master,6,38,"['cifar10', 'deep-learning', 'distributed', 'parle', 'pytorch', 'sgd', 'wide-residual-networks']",2017-10-02T03:36:32Z
pochih__FCN-pytorch,master,138,387,"['computer-vision', 'deep-learning', 'fully-convolutional-networks', 'pytorch', 'semantic-segmentation']",2017-10-12T08:42:10Z
MrGemy95__visual-interaction-networks-pytorch,master,25,166,"['computer-vision', 'convolutional-neural-networks', 'deep-learning', 'deepmind', 'machine-learning', 'nerual-network', 'physics', 'pytorch', 'video-prediction-models', 'visual-interaction-networks']",2017-10-13T10:50:15Z
eveningglow__multitask-CycleGAN,master,24,91,"['computer-vision', 'cyclegan', 'deep-learning', 'gan', 'generative-adversarial-network', 'image-translation', 'pytorch']",2017-10-17T04:42:33Z
vaibhavnaagar__pixelDA_GAN,master,18,66,"['classification', 'cnn', 'computer-vision', 'convolutional-neural-networks', 'domain-adaptation', 'gan', 'generative-adversarial-network', 'machine-learning', 'pytorch', 'unsupervised-learning']",2017-10-23T10:34:40Z
ntrang086__detect_facial_keypoints,master,4,3,"['cnn', 'computer-vision', 'facial-keypoints', 'facial-recognition', 'image-processing', 'keras', 'opencv', 'pytorch', 'real-time-filter']",2017-10-10T21:37:14Z
ferdavid1__LinkOCR,master,1,2,"['computer-vision', 'convolutional', 'convolutional-neural-networks', 'image-classification', 'image-processing', 'image-recognition', 'machine-learning', 'neural-network', 'python', 'recurrent-neural-networks']",2017-10-22T02:52:51Z
yanshengjia__ml-road,master,1092,2854,"['computer-vision', 'deep-learning', 'machine-learning', 'nlp', 'pytorch', 'speech-recognition', 'tensorflow']",2017-10-31T04:36:37Z
mohitzsh__Adversarial-Semisupervised-Semantic-Segmentation,master,46,156,"['adversarial-networks', 'computer-vision', 'pytorch', 'semantic-segmentation', 'semi-supervised-learning']",2017-10-28T15:45:54Z
