repo_name,tag_name,commit_sha,url
sisaman/LDP-mechanisms,main,55892bc6962636096a8e83a58590712cbfd5da0c,https://github.com/sisaman/LDP-mechanisms/archive/55892bc6962636096a8e83a58590712cbfd5da0c.tar.gz
PaccMann/paccmann_gp,0.1.2,ee37d6a85faf5199c80a31348f09d682ce0e417d,https://api.github.com/repos/PaccMann/paccmann_gp/tarball/refs/tags/0.1.2
PaccMann/paccmann_gp,0.1.1,ef58381cbbb9e33a5daf536b35e41d6c9c7bf0a8,https://api.github.com/repos/PaccMann/paccmann_gp/tarball/refs/tags/0.1.1
PaccMann/paccmann_gp,0.1.0,234ec8ff66abbd9897197b29e67e3b1cb680c6bc,https://api.github.com/repos/PaccMann/paccmann_gp/tarball/refs/tags/0.1.0
stjuliet/CenterLoc3D,master,26f12bcdca7bdb1691d278d73fc40fdc74319f35,https://github.com/stjuliet/CenterLoc3D/archive/26f12bcdca7bdb1691d278d73fc40fdc74319f35.tar.gz
Fantabulous-J/coref-HGAT,main,2328aad6e4082136187b325de4e427ce6caf8657,https://github.com/Fantabulous-J/coref-HGAT/archive/2328aad6e4082136187b325de4e427ce6caf8657.tar.gz
esjo93/NTIRE-2021-Dehazing-Challenge,master,a8356383b976baaf2a956391ab78e8e7a12682d7,https://github.com/esjo93/NTIRE-2021-Dehazing-Challenge/archive/a8356383b976baaf2a956391ab78e8e7a12682d7.tar.gz
cmikke97/Automatic-Malware-Signature-Generation,archive/optimization-attempt,dc20a8dad68f659390660668ad520eed178c1aa4,https://api.github.com/repos/cmikke97/Automatic-Malware-Signature-Generation/tarball/refs/tags/archive/optimization-attempt
cmikke97/Automatic-Malware-Signature-Generation,archive/old_main_version,85ce47f5c960b6b59782f09553c2f87d83b7718d,https://api.github.com/repos/cmikke97/Automatic-Malware-Signature-Generation/tarball/refs/tags/archive/old_main_version
cmikke97/Automatic-Malware-Signature-Generation,archive/mlflow_integration,769eca3bdc4f6472c15b3ffcbba7944e1e8e6ada,https://api.github.com/repos/cmikke97/Automatic-Malware-Signature-Generation/tarball/refs/tags/archive/mlflow_integration
talipucar/DomainAdaptation,main,9546032b513ccbab77ee0eb2ce7982abf2442e1b,https://github.com/talipucar/DomainAdaptation/archive/9546032b513ccbab77ee0eb2ce7982abf2442e1b.tar.gz
alex-snd/MalwareClassifier,master,fa331ff9f531121c5496f724d66c4c00484c3938,https://github.com/alex-snd/MalwareClassifier/archive/fa331ff9f531121c5496f724d66c4c00484c3938.tar.gz
ksopyla/seq2seq-attention-pytorch-lightning,main,49c8228bc19104ea1d4d867e358b57bdb6e4b4e1,https://github.com/ksopyla/seq2seq-attention-pytorch-lightning/archive/49c8228bc19104ea1d4d867e358b57bdb6e4b4e1.tar.gz
c00k1ez/plain-transformers,main,38cbb8a6fb17a2976b0e50f581be082acf9a850e,https://github.com/c00k1ez/plain-transformers/archive/38cbb8a6fb17a2976b0e50f581be082acf9a850e.tar.gz
cedro3/pytorch_ssd,main,04b932df3668f9123bfef302ccf383622781ec54,https://github.com/cedro3/pytorch_ssd/archive/04b932df3668f9123bfef302ccf383622781ec54.tar.gz
FENP/pytorchtool,main,73c293fd592a810c5a4c19e8110c2b4b46d9195e,https://github.com/FENP/pytorchtool/archive/73c293fd592a810c5a4c19e8110c2b4b46d9195e.tar.gz
da2so/DA2Lite,main,03a7fb5e784f6cb67d7cec34f655f14190d04fd5,https://github.com/da2so/DA2Lite/archive/03a7fb5e784f6cb67d7cec34f655f14190d04fd5.tar.gz
AquibPy/Pix2Pix-Conditional-GANs,weights,3698c91bd3e6587db2583a0fd6d6a6739c717238,https://api.github.com/repos/AquibPy/Pix2Pix-Conditional-GANs/tarball/refs/tags/weights
apat1n/LightGCN-Pytorch,master,468a15e6b080e2e77197fc3692d0b5e9ca5d4fdf,https://github.com/apat1n/LightGCN-Pytorch/archive/468a15e6b080e2e77197fc3692d0b5e9ca5d4fdf.tar.gz
Spico197/MCRF,main,2e475e0e28a18a8b146dd789ca18d7bbe7fbf319,https://github.com/Spico197/MCRF/archive/2e475e0e28a18a8b146dd789ca18d7bbe7fbf319.tar.gz
MasakiHosono/SelfSupervisedFisheyeRectification,main,a368078b0bbe8283a60372688715a2f4277f1d64,https://github.com/MasakiHosono/SelfSupervisedFisheyeRectification/archive/a368078b0bbe8283a60372688715a2f4277f1d64.tar.gz
shuuchen/involution.pytorch,main,adde46aff4e28068962ccd481e6dc33b5efa5d73,https://github.com/shuuchen/involution.pytorch/archive/adde46aff4e28068962ccd481e6dc33b5efa5d73.tar.gz
leoshine/fourier-feature-networks.pytorch,main,fb50b4115c813dfc5171c63ffb4915ec6fec14f8,https://github.com/leoshine/fourier-feature-networks.pytorch/archive/fb50b4115c813dfc5171c63ffb4915ec6fec14f8.tar.gz
KoDohwan/multiprocessing_pytorch_script,master,ce9d2274accfee5d6cf910e49feccb9292f676f3,https://github.com/KoDohwan/multiprocessing_pytorch_script/archive/ce9d2274accfee5d6cf910e49feccb9292f676f3.tar.gz
iamNCJ/bert-race-pytorch-lightning,sota-0323,c19cf78c896b1ebb1cbf20580c2b52b3349938ec,https://api.github.com/repos/iamNCJ/bert-race-pytorch-lightning/tarball/refs/tags/sota-0323
