projectID,total modules,extracted modules,total TPL,extracted TPL,total PTM, extracted PTM
334,2,2,6,6,2,2
791,1,1,13,13,0,0
1394,29,29,43,43,8,8
1706,1,1,7,7,0,0
1815,3,3,8,8,0,0
4429,1,1,4,4,0,0
5035,7,7,19,19,1,1
5122,5,5,11,11,0,0
5386,11,11,19,19,1,1
5814,5,5,16,16,0,0 
5943,4,4,15,15,0,0
6105,1,1,12,12,0,0
6453,1,1,9,9,0,0
7272,12,12,21,21,1,1
7323,14,14,31,31,1,1
8106,7,7,25,25,0,0
9298,22,22,28,28,2,2
12142,24,24,41,41,1,1
12345,0,0,9,9,2,2
13587,6,6,31,31,0,0
13923,22,22,37,37,3,2
13967,0,0,36,36,1,1
13992,2,2,33,33,2,2
14071,4,4,11,11,1,1
17363,1,1,4,4,0,0
17731,10,10,31,31,0,0
17422,42,42,66,66,2,2
20626,1,1,15,15,1,1
20925,21,21,40,40,18,16
21186,3,3,10,10,0,0
23364,12,12,62,62,2,2
23854,5,5,32,32,0,0
24005,0,0,3,3,0,0
24865,1,1,13,13,3,3
25263,6,6,33,33,0,0
25825,4,4,17,17,0,0
25843,10,10,16,16,0,0
26451,5,5,31,31,0,0
26720,34,34,14,14,0,0
26814,7,7,11,11,0,0
28541,18,18,22,22,1,1
29254,0,0,19,19,2,2
29379,20,20,29,29,1,1
29699,23,23,29,29,1,1
30090,17,17,29,29,1,1
31115,16,16,8,8,2,2
31531,5,5,13,13,0,0
32002,21,21,27,27,0,0
32821,2,2,14,14,0,0
33631,1,1,5,5,0,0
33694,4,4,12,12,0,0
33845,2,2,4,4,0,0
34516,0,0,9,9,2,2
34595,3,3,18,18,0,0
34804,11,11,13,13,1,1
35695,2,2,7,7,0,0
35762,1,1,12,12,0,0
36225,0,0,11,11,1,1
37858,13,13,45,45,1,1
38162,5,5,16,16,0,0
39206,5,5,13,13,0,0
39736,2,2,6,6,0,0
40963,87,87,134,134,1,1
42077,5,5,28,28,0,0
42863,69,69,69,69,0,0
43604,15,15,45,45,1,1
44898,0,0,6,6,0,0
45434,1,1,5,5,0,0
45539,0,0,25,25,0,0
46091,1,1,11,11,0,0
46797,0,0,6,6,0,0
48026,0,0,14,14,0,0
49383,38,38,154,154,0,0
49681,1,1,23,23,0,0
50500,103,103,57,57,1,1
50870,1,1,1,1,0,0
52038,28,28,13,13,2,2
53108,3,3,24,24,1,1
53278,6,6,12,12,0,0
54938,0,0,8,8,0,0
55033,0,0,23,23,0,0
56393,0,0,12,12,0,0
56489,0,0,6,6,0,0
57158,0,0,28,28,1,1
58881,14,14,31,31,0,0
59043,228,228,96,96,4,4
59273,4,4,14,14,0,0
59340,1,1,17,17,0,0
59526,1,1,35,35,2,2
61138,51,51,89,89,1,1
62410,7,7,44,44,0,0
63005,14,14,32,32,2,2
63627,2,2,3,3,0,0
63744,1,1,10,10,0,0
63893,36,36,62,62,1,1
64240,29,29,14,14,0,0
64615,1,1,8,8,0,0
65639,0,0,6,6,1,1
65774,4,4,10,10,0,0
66948,3,3,12,12,0,0
