moduleProjectID,modulePath,moduleName,startLine,endLine 
334,/BurguerJohn__torch-felix/main/torch-felix-8ccf07ec54dadf7f09bd917fc046e6a0f1f1b373/felix.py,FelixLoss,63,76
334,/BurguerJohn__torch-felix/main/torch-felix-8ccf07ec54dadf7f09bd917fc046e6a0f1f1b373/felix.py,FelixExtractor,14,59
791,/dangss__Language-Modeling/maste/Language-Modeling-8b2ec062ce67c6cce150bac480988fb8bb645b77/model/lm.py,RNNLM,8,105
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/loss.py,CrossEntropyLabelSmooth,59,92
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/loss.py,SupConLoss,94,181
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/loss.py,SCELoss,182,204
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/loss.py,KnowledgeDistillationLoss,207,232
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/loss.py,HLoss,234,241
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/network.py,VGGBase,31,45
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/network.py,ViT,50,63
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/network.py,ResBase,65,102
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/network.py,feat_bootleneck,104,118
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/network.py,feat_classifier,120,133
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/network.py,feat_classifier_two,135,147
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/network.py,Res50,149,177
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/network.py,SELayer,178,193
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/non_local_embedded_gaussian.py,_NonLocalBlockND,6,85
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/non_local_embedded_gaussian.py,NONLocalBlock1D,88,93
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/non_local_embedded_gaussian.py,NONLocalBlock2D,96,101
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/non_local_embedded_gaussian.py,NONLocalBlock3D,104,109
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/TransUNet/utils.py,DiceLoss,9,45
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/TransUNet/networks/vit_seg_modeling.py,Attention,50,94
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/TransUNet/networks/vit_seg_modeling.py,Mlp,97,119
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/TransUNet/networks/vit_seg_modeling.py,Embeddings,122,165
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/TransUNet/networks/vit_seg_modeling.py,Block,168,224
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/TransUNet/networks/vit_seg_modeling.py,Encoder,227,244
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/TransUNet/networks/vit_seg_modeling.py,Transformer,247,256
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/TransUNet/networks/vit_seg_modeling.py,DecoderBlock,284,315
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/TransUNet/networks/vit_seg_modeling.py,DecoderCup,326,379
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/TransUNet/networks/vit_seg_modeling.py,VisionTransformer,382,451
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/TransUNet/networks/vit_seg_modeling_resnet_skip.py,PreActBottleneck,38,110
1394,/vclab-dev__ViT_DA/maste/ViT_DA-31ea68012e6cc786e62a69b152bd7663813dc3fe/TransUNet/networks/vit_seg_modeling_resnet_skip.py,ResNetV2,112,161
1706,/meetthehorizon__u-net-using-pytorch/main/u-net-using-pytorch-fffdc474ca34b08c88d8eaef992b4a2d600ace47/src/models/UNet.py,UNet,5,76
1815,/secondlevel__Deep-Q-Network-and-Deep-Deterministic-Policy-Gradient/main/Deep-Q-Network-and-Deep-Deterministic-Policy-Gradient-f9c1a57afaf79ecea53ea3265d77751c80ab3c4f/dqn-example.py,Net,37,53
1815,/secondlevel__Deep-Q-Network-and-Deep-Deterministic-Policy-Gradient/main/Deep-Q-Network-and-Deep-Deterministic-Policy-Gradient-f9c1a57afaf79ecea53ea3265d77751c80ab3c4f/ddpg-example.py,ActorNet,47,68
1815,/secondlevel__Deep-Q-Network-and-Deep-Deterministic-Policy-Gradient/main/Deep-Q-Network-and-Deep-Deterministic-Policy-Gradient-f9c1a57afaf79ecea53ea3265d77751c80ab3c4f/ddpg-example.py,CriticNet,71,87
4429,/HEEJOWOO__Pytorch_Tutorial-official-website-/main/Pytorch_Tutorial-official-website--3ea772551a1113d6b6f339fe11752fd2cc8c144c/quick_start.py,NeuralNetwork,33,49
5035,/vvvm23__albert/main/albert-548fa03832f7e64ab79f2dfa16aa5ac42469333d/albert/nystrom.py,NystromAttention,14,126
5035,/vvvm23__albert/main/albert-548fa03832f7e64ab79f2dfa16aa5ac42469333d/albert/attention.py,SoftmaxAttention,8,22
5035,/vvvm23__albert/main/albert-548fa03832f7e64ab79f2dfa16aa5ac42469333d/albert/helper.py,HelperModule,10,16
5035,/vvvm23__albert/main/albert-548fa03832f7e64ab79f2dfa16aa5ac42469333d/albert/model.py,ALBERT,90,137
5035,/vvvm23__albert/main/albert-548fa03832f7e64ab79f2dfa16aa5ac42469333d/albert/model.py,FactorizedEmbedding,32,43
5035,/vvvm23__albert/main/albert-548fa03832f7e64ab79f2dfa16aa5ac42469333d/albert/model.py,TransformerLayer,49,84
5035,/vvvm23__albert/main/albert-548fa03832f7e64ab79f2dfa16aa5ac42469333d/albert/model.py,PositionalEmbedding,12,26
5122,/lizhuoq__Real-Esrgan/main/Real-Esrgan-2ba9935ce9e43f0a35c0f4b9a9c6ec6b85ae2bbf/model.py,GeneratorRRDB,116,149
5122,/lizhuoq__Real-Esrgan/main/Real-Esrgan-2ba9935ce9e43f0a35c0f4b9a9c6ec6b85ae2bbf/model.py,DenseResidualBlock,75,101
5122,/lizhuoq__Real-Esrgan/main/Real-Esrgan-2ba9935ce9e43f0a35c0f4b9a9c6ec6b85ae2bbf/model.py,ResidualInResidualDenseBlock,104,113
5122,/lizhuoq__Real-Esrgan/main/Real-Esrgan-2ba9935ce9e43f0a35c0f4b9a9c6ec6b85ae2bbf/model.py,FeatureExtractor,8,21
5122,/lizhuoq__Real-Esrgan/main/Real-Esrgan-2ba9935ce9e43f0a35c0f4b9a9c6ec6b85ae2bbf/model.py,UNetDiscriminatorSN,24,72
5386,/pbloem__former/maste/former-d995052c3762af62c1439f310ae208344583f3fe/former/modules.py,Attention,569,664
5386,/pbloem__former/maste/former-d995052c3762af62c1439f310ae208344583f3fe/former/modules.py,SelfAttentionRelative,457,567
5386,/pbloem__former/maste/former-d995052c3762af62c1439f310ae208344583f3fe/former/modules.py,SelfAttentionWide,388,454
5386,/pbloem__former/maste/former-d995052c3762af62c1439f310ae208344583f3fe/former/modules.py,SelfAttentionGPT2,311,386
5386,/pbloem__former/maste/former-d995052c3762af62c1439f310ae208344583f3fe/former/modules.py,TransformerBlock,666,719
5386,/pbloem__former/maste/former-d995052c3762af62c1439f310ae208344583f3fe/former/transformers.py,CTransformer,49,101
5386,/pbloem__former/maste/former-d995052c3762af62c1439f310ae208344583f3fe/former/transformers.py,GTransformer,9,47
5386,/pbloem__former/maste/former-d995052c3762af62c1439f310ae208344583f3fe/former/modules.py,Conv1D,260,309
5386,/pbloem__former/maste/former-d995052c3762af62c1439f310ae208344583f3fe/former/modules.py,SelfAttentionNarrow,182,258
5386,/pbloem__former/maste/former-d995052c3762af62c1439f310ae208344583f3fe/former/modules.py,SelfAttentionAlt,99,180
5386,/pbloem__former/maste/former-d995052c3762af62c1439f310ae208344583f3fe/former/modules.py,SelfAttention,9,97
6105,/7125messi__ner-pytorch/maste/ner-pytorch-93d5fcf72e1138f7657a8fffced62b9ad421702a/pytorch/BiLSTM_CRF.py,BiLSTM_CRF,27,165
5943,/mcartagenah__FID_pytorch/fid_weights/mcartagenah-FID_pytorch-4e366b2/inception.py,InceptionV3,6,141
5943,/mcartagenah__FID_pytorch/0.1.0/mcartagenah-FID_pytorch-328a1a0/pytorch_fid/inception.py,InceptionV3,16,163
5943,/mcartagenah__FID_pytorch/0.1.1/mcartagenah-FID_pytorch-cc8219e/pytorch_fid/inception.py,InceptionV3,16,163
5943,/mcartagenah__FID_pytorch/v0.2.0/mcartagenah-FID_pytorch-d2e97ef/src/pytorch_fid/inception.py,InceptionV3,16,163
5814,/tanphamnewbie__mlp-mixer-pytorch-implement/main/mlp-mixer-pytorch-implement-cb6a16f0f712dec202a0f926f2a2f77db20bfefd/MLP_Mixer_model.py,TokenMixer,23,36
5814,/tanphamnewbie__mlp-mixer-pytorch-implement/main/mlp-mixer-pytorch-implement-cb6a16f0f712dec202a0f926f2a2f77db20bfefd/MLP_Mixer_model.py,ChannelMixer,39,50
5814,/tanphamnewbie__mlp-mixer-pytorch-implement/main/mlp-mixer-pytorch-implement-cb6a16f0f712dec202a0f926f2a2f77db20bfefd/MLP_Mixer_model.py,MLP,3,20
5814,/tanphamnewbie__mlp-mixer-pytorch-implement/main/mlp-mixer-pytorch-implement-cb6a16f0f712dec202a0f926f2a2f77db20bfefd/MLP_Mixer_model.py,MixerLayer,53,62
5814,/tanphamnewbie__mlp-mixer-pytorch-implement/main/mlp-mixer-pytorch-implement-cb6a16f0f712dec202a0f926f2a2f77db20bfefd/MLP_Mixer_model.py,MLPMixer,65,95
6453,/donghyeonk__match-lstm/maste/match-lstm-f3886ab6832d738642e364be67bc36a6d7c42e5f/model.py,MatchLSTM,7,169
7272,/wenzhilong__test_PyTorch/maste/test_PyTorch-aff4a355b00b2e4f7e0dc64e5d1cb8616547ba0e/LeNet.py,LeNet,10,33
7272,/wenzhilong__test_PyTorch/maste/test_PyTorch-aff4a355b00b2e4f7e0dc64e5d1cb8616547ba0e/d2lzh_pytorch/utils.py,GlobalAvgPool2d,272,277
7272,/wenzhilong__test_PyTorch/maste/test_PyTorch-aff4a355b00b2e4f7e0dc64e5d1cb8616547ba0e/d2lzh_pytorch/utils.py,Residual,282,299
7272,/wenzhilong__test_PyTorch/maste/test_PyTorch-aff4a355b00b2e4f7e0dc64e5d1cb8616547ba0e/d2lzh_pytorch/utils.py,RNNModel,476,492
7272,/wenzhilong__test_PyTorch/maste/test_PyTorch-aff4a355b00b2e4f7e0dc64e5d1cb8616547ba0e/creation_of_modules/eg_of_nn.ModuleList.py,Net,9,31
7272,/wenzhilong__test_PyTorch/maste/test_PyTorch-aff4a355b00b2e4f7e0dc64e5d1cb8616547ba0e/creation_of_modules/eg_of_nn.ModuleDict.py,Net,9,31
7272,/wenzhilong__test_PyTorch/maste/test_PyTorch-aff4a355b00b2e4f7e0dc64e5d1cb8616547ba0e/training_on_gpu/torchkeras_on_gpu.py,CNNModule,35,54
7272,/wenzhilong__test_PyTorch/maste/test_PyTorch-aff4a355b00b2e4f7e0dc64e5d1cb8616547ba0e/modules of neural network/LeNet.py,LeNet,11,32
7272,/wenzhilong__test_PyTorch/maste/test_PyTorch-aff4a355b00b2e4f7e0dc64e5d1cb8616547ba0e/comparison_of_cpu_and_gpu/linear_regression.py,LinearRegression,21,28
7272,/wenzhilong__test_PyTorch/maste/test_PyTorch-aff4a355b00b2e4f7e0dc64e5d1cb8616547ba0e/creation_of_modules/eg_of_nn.Sequential.py,Net,8,31
7272,/wenzhilong__test_PyTorch/maste/test_PyTorch-aff4a355b00b2e4f7e0dc64e5d1cb8616547ba0e/creation_of_modules/eg_of_nn.Module.py,Net,7,35
7272,/wenzhilong__test_PyTorch/maste/test_PyTorch-aff4a355b00b2e4f7e0dc64e5d1cb8616547ba0e/function of losses/eg_of_losses.py,FocalLoss,64,77
7323,/mihir135__yolov5/maste/yolov5-04279426e8a58d43c541b6ca7d410768bed933fa/models/common.py,Conv,12,24
7323,/mihir135__yolov5/maste/yolov5-04279426e8a58d43c541b6ca7d410768bed933fa/models/common.py,Bottleneck,27,37
7323,/mihir135__yolov5/maste/yolov5-04279426e8a58d43c541b6ca7d410768bed933fa/models/common.py,BottleneckCSP,40,56
7323,/mihir135__yolov5/maste/yolov5-04279426e8a58d43c541b6ca7d410768bed933fa/models/common.py,SPP,59,70
7323,/mihir135__yolov5/maste/yolov5-04279426e8a58d43c541b6ca7d410768bed933fa/models/yolo.py,Detect,8,44
7323,/mihir135__yolov5/maste/yolov5-04279426e8a58d43c541b6ca7d410768bed933fa/models/yolo.py,Model,47,143
7323,/mihir135__yolov5/maste/yolov5-04279426e8a58d43c541b6ca7d410768bed933fa/utils/utils.py,FocalLoss,307,334
7323,/mihir135__yolov5/maste/yolov5-04279426e8a58d43c541b6ca7d410768bed933fa/models/experimental.py,Sum,4,22
7323,/mihir135__yolov5/maste/yolov5-04279426e8a58d43c541b6ca7d410768bed933fa/models/experimental.py,GhostConv,25,35
7323,/mihir135__yolov5/maste/yolov5-04279426e8a58d43c541b6ca7d410768bed933fa/models/experimental.py,GhostBottleneck,38,50
7323,/mihir135__yolov5/maste/yolov5-04279426e8a58d43c541b6ca7d410768bed933fa/models/experimental.py,ConvPlus,53,61
7323,/mihir135__yolov5/maste/yolov5-04279426e8a58d43c541b6ca7d410768bed933fa/models/experimental.py,MixConv2d,64,85
7323,/mihir135__yolov5/maste/yolov5-04279426e8a58d43c541b6ca7d410768bed933fa/models/common.py,Focus,79,86
7323,/mihir135__yolov5/maste/yolov5-04279426e8a58d43c541b6ca7d410768bed933fa/models/common.py,Concat,89,96
8106,/akiragy__recsys_pipeline/maste/recsys_pipeline-16de2c1c97841cae7724860827f8568aafbb0282/offline/recall/s2_vector_recall.py,MFModel,19,33
8106,/akiragy__recsys_pipeline/maste/recsys_pipeline-16de2c1c97841cae7724860827f8568aafbb0282/offline/torchfm/model.py,FeaturesLinear,5,18
8106,/akiragy__recsys_pipeline/maste/recsys_pipeline-16de2c1c97841cae7724860827f8568aafbb0282/offline/torchfm/model.py,FeaturesEmbedding,21,34
8106,/akiragy__recsys_pipeline/maste/recsys_pipeline-16de2c1c97841cae7724860827f8568aafbb0282/offline/torchfm/model.py,FactorizationMachine,37,62
8106,/akiragy__recsys_pipeline/maste/recsys_pipeline-16de2c1c97841cae7724860827f8568aafbb0282/offline/torchfm/model.py,MultiLayerPerceptron,65,84
8106,/akiragy__recsys_pipeline/maste/recsys_pipeline-16de2c1c97841cae7724860827f8568aafbb0282/offline/torchfm/model.py,FactorizationMachineModel,87,106
8106,/akiragy__recsys_pipeline/maste/recsys_pipeline-16de2c1c97841cae7724860827f8568aafbb0282/offline/torchfm/model.py,DeepFactorizationMachineModel,109,157
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/model/gcn.py,NERClassifier,13,223
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/model/gcn.py,GCN,237,290
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/nn/skip_rnn.py,VarSkipRNNBase,10,85
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/nn/crf.py,ChainCRF,10,178
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/nn/crf.py,TreeCRF,181,280
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/nn/variational_rnn.py,VarRNNBase,9,82
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/nn/variational_rnn.py,VarRNNCellBase,373,389
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/nn/modules.py,CharCNN,162,212
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/nn/modules.py,BiLinear,13,79
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/nn/modules.py,BiAffine,82,159
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/nn/variational_rnn.py,VarFastGRUCell,800,894
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/nn/variational_rnn.py,VarRNNCell,392,492
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/nn/variational_rnn.py,VarLSTMCell,495,596
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/nn/variational_rnn.py,VarGRUCell,599,693
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/nn/variational_rnn.py,VarFastLSTMCell,696,797
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/models/parsing.py,NeuroMST,261,326
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/models/parsing.py,StackPtrNet,329,747
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/models/parsing.py,DeepBiAffine,20,258
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/models/sequence_labeling.py,BiRecurrentConv,10,126
9298,/HeyyyyyyG__CFIE/NER/CFIE-631c43d4a3090a2f4c2fed6b81d535f42949c379/neuronlp2/models/sequence_labeling.py,BiVarRecurrentConv,129,176
