projectID,repo_name,imports,pretrainedModels
334,BurguerJohn__torch-felix,[felix;matplotlib;torch;numpy;math;torchvision],[facebookresearch/dinov2;dinov2_vits14]
791,dangss__Language-Modeling,[data_vocab;os;torch;numpy;sys;argparse;tqdm;collections;logging;json;model;math;time],[]
1394,vclab-dev__ViT_DA,[data_list;vit_seg_modeling_resnet_skip;csv;sklearn;numpy;datasets;sys;torchvision;networks;network;loss;random;mixup_utils;seaborn;collections;utils;trainer;ml_collections;wandb;copy;non_local_embedded_gaussian;scipy;timm;os;warnings;torch;__future__;argparse;pdb;rlcc;tqdm;pandas;PIL;matplotlib;TransUNet;tensorboardX;logging;shutil;medpy;math;time;SimpleITK;torchsummary],[facebookresearch/deit:main;deit_small_patch16_224;facebookresearch/deit:main;deit_base_patch16_224;facebookresearch/deit:main;deit_small_distilled_patch16_224]
1706,meetthehorizon__u-net-using-pytorch,[random;PIL;os;matplotlib;torch;subprocess;torchvision],[]
1815,secondlevel__Deep-Q-Network-and-Deep-Deterministic-Policy-Gradient,[random;collections;torch;gym;time;numpy;itertools;argparse],[]
4429,HEEJOWOO__Pytorch_Tutorial-official-website-,[matplotlib;torch;numpy;torchvision],[]
5035,vvvm23__albert,[tokenizers;transformers;types;torch;hps;datasets;numpy;argparse;tqdm;datetime;pathlib;helper;functools;trainer;nystrom;albert;attention;math;einops],[albert-base-v2]
5122,lizhuoq__Real-Esrgan,[PIL;os;utils;glob;torch;model;numpy;torchvision;dataset;argparse;d2l],[]
5386,pbloem__former,[transformers;torchtext;os;setuptools;unittest;torch;gzip;numpy;sys;former;modules;argparse;tqdm;random;util;collections;fire;math;time],[]
5814,tanphamnewbie__mlp-mixer-pytorch-implement,[lib;os;glob;torch;numpy;torchvision;data_tranform;tqdm;random;PIL;util;matplotlib;json;MLP_Mixer_model;config;dataset],[]
5943,mcartagenah__FID_pytorch,[scipy;os;pytest;inception;torch;setuptools;multiprocessing;numpy;torchvision;argparse;tqdm;pytorch_fid;PIL;pathlib;nox],[]
6105,7125messi__ner-pytorch,[BiLSTM_CRF;pandas;re;os;collections;codecs;sklearn;torch;resultCal;numpy;pickle;pdb],[]
6453,donghyeonk__match-lstm,[datetime;pprint;os;torch;model;numpy;dataset;argparse;pickle],[]
